id,story,query,target,parse,gender,f_comb,ans
0,"[Darnell] loved his mother, [Theresa]. [Theresa] was so proud of her daughter [Amanda] for getting straight A's this semester. [Darnell] is going to the arcade with his sister, [Michelle]. [Michelle] was excited for today, its her daughter's, [Theresa], spring break. She will finally get to see her.","('Amanda', 'Michelle')",sister,"son(""Theresa"", ""Darnell""). mother(""Darnell"", ""Theresa""). daughter(""Theresa"", ""Amanda""). mother(""Amanda"", ""Theresa""). sister(""Darnell"", ""Michelle""). brother(""Michelle"", ""Darnell""). daughter(""Michelle"", ""Theresa""). mother(""Theresa"", ""Michelle"").",,mother-daughter,"['sister', 'grandmother']"
1,"[Eric] asked his son, [Michael], to go grocery shopping for him. [Michael] was busy and sent his wife, [Marlene], instead. [Eric]'s son [Arthur] is in the hospital. [Arthur]'s brother [Michael] accidentally hit him with a hammer.","('Eric', 'Marlene')",daughter-in-law,"son(""Eric"", ""Michael""). father(""Michael"", ""Eric""). wife(""Michael"", ""Marlene""). husband(""Marlene"", ""Michael""). son(""Eric"", ""Arthur""). father(""Arthur"", ""Eric""). brother(""Arthur"", ""Michael"").",,son-wife,['daughter-in-law']
2,"[Verdie] waved good bye to her dad [Henry] for the day and went next door with her sister [Amanda]. [Henry]'s daughter, [Amanda], went to the city this weekend. She spent her time there visiting her grandfather, [Kyle], and had a wonderful time with him.","('Henry', 'Kyle')",father,"father(""Verdie"", ""Henry""). sister(""Verdie"", ""Amanda""). daughter(""Henry"", ""Amanda""). grandfather(""Amanda"", ""Kyle"").",,daughter-grandfather,['father']
3,"[Kristen] took her son [Ronald] to [Shirley] ([Kristen]'s sister) birthday party. [Kristen] is coming to New York to visit her niece, [Margaret]. [Shirley] wants to make a special meal for her daughter [Margaret]'s birthday.","('Shirley', 'Ronald')",nephew,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Kristen"", ""Shirley""). sister(""Shirley"", ""Kristen""). niece(""Kristen"", ""Margaret""). aunt(""Margaret"", ""Kristen""). daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley"").",,sister-son,['nephew']
4,"[Henry] was making tacos with his son [Darnell]. [Darnell]'s sister [Michelle] was mixing drinks. [John] and his wife [Michelle], were n't getting along. [Michelle]'s father, [Henry], offered to act as a mediator.","('John', 'Henry')",father-in-law,"son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). daughter(""Henry"", ""Michelle""). father(""Michelle"", ""Henry""). wife(""John"", ""Michelle""). husband(""Michelle"", ""John"").",,wife-father,['father-in-law']
5,[Karen] told her daughter [Kristen] to wash up. Dinner was ready. [Theresa] is taking a trip to see her sister [Kristen]. [Theresa] and her mother [Karen] went dress shopping on Saturday. [Kristen] loved to care for her newborn child [Ronald].,"('Karen', 'Ronald')",grandson,"daughter(""Karen"", ""Kristen""). mother(""Kristen"", ""Karen""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa""). mother(""Theresa"", ""Karen""). daughter(""Karen"", ""Theresa"").child(""Kristen"", ""Ronald""). mother(""Kristen"", ""Ronald"").","1 5 female(""Karen""). female(""Kristen""). female(""Theresa""). male(""Ronald"").",daughter-son,[]
6,[Edward] and his daughter [Dorothy] are planning a trip to the mountains. They have n't been in almost 10 years. [Dorothy] has an aunt named [Theresa] [Ronald] asked his father [Edward] if he could have a video game and he said okay. [Dorothy] does n't always get along with her brother [Ronald]. Sometimes they fight like siblings do.,"('Edward', 'Theresa')",sister,"daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward""). aunt(""Dorothy"", ""Theresa""). niece(""Theresa"", ""Dorothy""). son(""Edward"", ""Ronald""). father(""Ronald"", ""Edward""). brother(""Dorothy"", ""Ronald""). sister(""Ronald"", ""Dorothy"").",,daughter-aunt,['sister']
7,"[Kyle] who is [Eric]'s father grounded [Eric] after finding out what [Eric] had done at school. [Eric] has always felt ignored in his big family. His brother [Vernon] always got all the attention of their parents, who recounted his every accomplishment to all the household. [Eric]'s son is [Arthur]. [Arthur] and his father always go fishing together on Sundays and have a great time together. [Vernon] went with his nephew [Arthur] to the gas station, they both had to use the men's restroom.","('Kyle', 'Vernon')",son,"father(""Eric"", ""Kyle""). son(""Kyle"", ""Eric""). brother(""Eric"", ""Vernon""). brother(""Vernon"", ""Eric""). son(""Eric"", ""Arthur""). father(""Arthur"", ""Eric""). nephew(""Vernon"", ""Arthur""), uncle(""Arthur"", ""Vernon"").",,son-brother,['son']
8,"[Theresa] loved to care for her newborn child [Darnell]. [Darnell] and his sister [Amanda] walked to school together every day, since they only lived two blocks away from the school. [Henry] has a son named [Darnell] that looks exactly like him. [Henry] has a daughter named [Amanda] who visits him every Sunday for dinner.","('Theresa', 'Amanda')",daughter,"child(""Theresa"", ""Darnell""). mother(""Darnell"", ""Theresa""). sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell""). son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). daughter(""Henry"", ""Amanda""). father(""Amanda"", ""Henry"").",,son-sister,[]
9,"[Kristen] 'son, [Ronald] wanted to go to the store. He asked his sister, [Sarah] if she wanted to go too. [Sarah] was excited for today, its her daughter's, [Kristen], spring break. She will finally get to see her. [Sarah] is the [Lonnie]'s wife.","('Kristen', 'Lonnie')",son-in-law,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Ronald"", ""Sarah""). daughter(""Sarah"", ""Kristen""). mother(""Kristen"", ""Sarah""). wife(""Lonnie"", ""Sarah""). husband(""Sarah"", ""Lonnie"").",,daughter-husband,['son-in-law']
