id,story,query,target,f_comb
0,"[Darnell] loved his mother, [Theresa]. [Theresa] was so proud of her daughter [Amanda] for getting straight A's this semester. [Darnell] is going to the arcade with his sister, [Michelle]. [Michelle] was excited for today, its her daughter's, [Theresa], spring break. She will finally get to see her.","('Amanda', 'Michelle')",sister,mother-daughter
1,"[Eric] asked his son, [Michael], to go grocery shopping for him. [Michael] was busy and sent his wife, [Marlene], instead. [Eric]'s son [Arthur] is in the hospital. [Arthur]'s brother [Michael] accidentally hit him with a hammer.","('Eric', 'Marlene')",daughter-in-law,son-wife
2,"[Verdie] waved good bye to her dad [Henry] for the day and went next door with her sister [Amanda]. [Henry]'s daughter, [Amanda], went to the city this weekend. She spent her time there visiting her grandfather, [Kyle], and had a wonderful time with him.","('Henry', 'Kyle')",father,daughter-grandfather
3,"[Kristen] took her son [Ronald] to [Shirley] ([Kristen]'s sister) birthday party. [Kristen] is coming to New York to visit her niece, [Margaret]. [Shirley] wants to make a special meal for her daughter [Margaret]'s birthday.","('Shirley', 'Ronald')",nephew,sister-son
4,"[Henry] was making tacos with his son [Darnell]. [Darnell]'s sister [Michelle] was mixing drinks. [John] and his wife [Michelle], were n't getting along. [Michelle]'s father, [Henry], offered to act as a mediator.","('John', 'Henry')",father-in-law,wife-father
5,[Karen] told her daughter [Kristen] to wash up. Dinner was ready. [Theresa] is taking a trip to see her sister [Kristen]. [Theresa] and her mother [Karen] went dress shopping on Saturday. [Kristen] loved to care for her newborn child [Ronald].,"('Karen', 'Ronald')",grandson,daughter-son
6,[Edward] and his daughter [Dorothy] are planning a trip to the mountains. They have n't been in almost 10 years. [Dorothy] has an aunt named [Theresa] [Ronald] asked his father [Edward] if he could have a video game and he said okay. [Dorothy] does n't always get along with her brother [Ronald]. Sometimes they fight like siblings do.,"('Edward', 'Theresa')",sister,daughter-aunt
7,"[Kyle] who is [Eric]'s father grounded [Eric] after finding out what [Eric] had done at school. [Eric] has always felt ignored in his big family. His brother [Vernon] always got all the attention of their parents, who recounted his every accomplishment to all the household. [Eric]'s son is [Arthur]. [Arthur] and his father always go fishing together on Sundays and have a great time together. [Vernon] went with his nephew [Arthur] to the gas station, they both had to use the men's restroom.","('Kyle', 'Vernon')",son,son-brother
8,"[Theresa] loved to care for her newborn child [Darnell]. [Darnell] and his sister [Amanda] walked to school together every day, since they only lived two blocks away from the school. [Henry] has a son named [Darnell] that looks exactly like him. [Henry] has a daughter named [Amanda] who visits him every Sunday for dinner.","('Theresa', 'Amanda')",daughter,son-sister
9,"[Kristen] 'son, [Ronald] wanted to go to the store. He asked his sister, [Sarah] if she wanted to go too. [Sarah] was excited for today, its her daughter's, [Kristen], spring break. She will finally get to see her. [Sarah] is the [Lonnie]'s wife.","('Kristen', 'Lonnie')",son-in-law,daughter-husband
10,[Edward] has a sibling who is much younger than he is. They get along well and his name is [Eric]. [Eric] was so proud that his son [Michael] won the science fair! [Eric] who is [Carl]'s father grounded [Carl] after finding out what [Carl] had done at school. [Carl] and his brother [Michael] played at jacks.,"('Edward', 'Michael')",nephew,brother-son
11,"[Eric], [Kyle]'s son, was the number one pitcher on the team, just like [Eric]'s son, [Arthur] is now. [Robin] and her husband [Eric] just celebrated 10 years of marriage. [Robin] was so excited to learn that her son [Arthur] got accepted into college.","('Kyle', 'Arthur')",grandson,son-son
12,"[Kristen]'s daughter, [Dorothy], asked her mom to read her a story. [Edward] took his daughter, [Dorothy], and her grandmother, [Karen], to the opening screening of a movie. [Kristen] and [Edward] were talking about where they went on their honeymoon. [Kristen] told [Edward] she wants to go back to the same resort one day.","('Edward', 'Karen')",mother,daughter-grandmother
13,"[Vernon] was present in the delivery room when his daughter [Raquel] was born, but when his daughter [Constance] was born he was too sick. [Vernon] and his daughter [Margaret] went to the movies. [Constance], [Margaret]'s sister, had to stay home as she was sick.","('Constance', 'Raquel')",sister,father-daughter
14,"[Carl] asked his mother [Robin] to read to him. [Robin] was too busy. [Eric] who is [Carl]'s father grounded [Carl] after finding out what [Carl] had done at school. [Henry] was thrilled to take his nephew, [Carl], out to play for the day. [Robin] was mad at her brother [Henry], because [Henry] had called her fat.","('Eric', 'Henry')",brother,son-uncle
15,"[Theresa] loved to play dress-up with her daughter [Verdie]. [Ronald] was busy planning a 90th birthday party for his aunt, [Theresa]. [Theresa] and her sister [Kristen] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Kristen] baked a cake for her son [Ronald].","('Kristen', 'Verdie')",niece,sister-daughter
16,"[Darnell] is estranged from his mother, [Theresa]. His sister [Amanda] has tried to convince him to forgive [Theresa], but [Darnell] refuses. [Henry] took his son, [Darnell] to the movies with [Amanda], who's father is [Henry].","('Amanda', 'Theresa')",mother,brother-mother
17,[Henry] is happy that his daughter is doing so well. Her name is [Verdie]. [Verdie] and her brother [Darnell] went to the basketball game and had a great time. [Darnell] took his wife [Christine] out to dinner. [Darnell] asked his father [Henry] to watch the kids.,"('Christine', 'Henry')",father-in-law,husband-father
18,"[Casey] often goes out for lunch with his sister, [Margaret]. [Vernon] took his son [Casey] for boxing lessons. He felt the boy needed to toughen up. [Eric] and his brother [Vernon] were playing tag in the park. [Vernon] was so proud of his daughter, [Margaret], graduating at the top of her class.","('Eric', 'Margaret')",niece,brother-daughter
19,"[Allen]'s father, [Eric], bought him some ice cream. [Carl] and his brother [Allen] both played soccer. [Carl] was faster, but [Allen] had a better shot, so they complemented each other well. [Eric] and his son [Carl] went to the park and saw [Eric]'s father [Kyle] there with his dog.","('Carl', 'Kyle')",grandfather,father-father
20,"[Shirley] took her daughter [Margaret] to see her very first ballet performance. [Margaret] is one of my favorite students. She is the younger sister of [Casey], who I taught last year, [Casey] came to visit his wife [Stacy] for lunch today. [Casey] went to [Shirley]'s house for dinner.","('Stacy', 'Shirley')",mother-in-law,husband-mother
21,"[Kristen] asked her sister [Theresa] to hurry up and get off the phone. [Kristen]'s sister [Robin] told her to wait her turn and be more patient. [Theresa] went shopping with her daughter, [Michelle]. [Theresa] also invited her sister, [Robin], along.","('Michelle', 'Robin')",aunt,mother-sister
22,"[Vernon] and his wife, [Shirley], were out Christmas shopping when [Shirley] found the perfect teddy bear for her daughter, [Margaret]. [Vernon] and his daughter [Margaret] went to see [Vernon]'s father [Kyle] to see how he was feeling because he had been sick with the flu.","('Kyle', 'Margaret')",granddaughter,son-daughter
23,[Dorothy] could n't wait for the surprise birthday party that she was throwing for her brother [Ronald] next weekend. [Patty] and her brother [Dorothy] were playing outside when her father [Edward] came out to say they should come in before it rains. [Dorothy] went out for pizza with her father [Edward].,"('Ronald', 'Edward')",father,sister-father
