id,story,query,target,parse,gender,f_comb,ans
3,"[Kristen] took her son [Ronald] to [Shirley] ([Kristen]'s sister) birthday party. [Kristen] is coming to New York to visit her niece, [Margaret]. [Shirley] wants to make a special meal for her daughter [Margaret]'s birthday.","('Shirley', 'Ronald')",nephew,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Kristen"", ""Shirley""). sister(""Shirley"", ""Kristen""). niece(""Kristen"", ""Margaret""). aunt(""Margaret"", ""Kristen""). daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley"").",,sister-son,['nephew']
4,"[Henry] was making tacos with his son [Darnell]. [Darnell]'s sister [Michelle] was mixing drinks. [John] and his wife [Michelle], were n't getting along. [Michelle]'s father, [Henry], offered to act as a mediator.","('John', 'Henry')",father-in-law,"son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). daughter(""Henry"", ""Michelle""). father(""Michelle"", ""Henry""). wife(""John"", ""Michelle""). husband(""Michelle"", ""John"").",,wife-father,[]
5,[Karen] told her daughter [Kristen] to wash up. Dinner was ready. [Theresa] is taking a trip to see her sister [Kristen]. [Theresa] and her mother [Karen] went dress shopping on Saturday. [Kristen] loved to care for her newborn child [Ronald].,"('Karen', 'Ronald')",grandson,"daughter(""Karen"", ""Kristen""). mother(""Kristen"", ""Karen""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa""). mother(""Theresa"", ""Karen""). daughter(""Karen"", ""Theresa"").child(""Kristen"", ""Ronald""). mother(""Kristen"", ""Ronald"").","1 5 female(""Karen""). female(""Kristen""). female(""Theresa""). male(""Ronald"").",daughter-son,[]
8,"[Theresa] loved to care for her newborn child [Darnell]. [Darnell] and his sister [Amanda] walked to school together every day, since they only lived two blocks away from the school. [Henry] has a son named [Darnell] that looks exactly like him. [Henry] has a daughter named [Amanda] who visits him every Sunday for dinner.","('Theresa', 'Amanda')",daughter,"child(""Theresa"", ""Darnell""). mother(""Darnell"", ""Theresa""). sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell""). son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). daughter(""Henry"", ""Amanda""). father(""Amanda"", ""Henry"").",,son-sister,[]
9,"[Kristen] 'son, [Ronald] wanted to go to the store. He asked his sister, [Sarah] if she wanted to go too. [Sarah] was excited for today, its her daughter's, [Kristen], spring break. She will finally get to see her. [Sarah] is the [Lonnie]'s wife.","('Kristen', 'Lonnie')",son-in-law,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Ronald"", ""Sarah""). daughter(""Sarah"", ""Kristen""). mother(""Kristen"", ""Sarah""). wife(""Lonnie"", ""Sarah""). husband(""Sarah"", ""Lonnie"").",,daughter-husband,[]
10,[Edward] has a sibling who is much younger than he is. They get along well and his name is [Eric]. [Eric] was so proud that his son [Michael] won the science fair! [Eric] who is [Carl]'s father grounded [Carl] after finding out what [Carl] had done at school. [Carl] and his brother [Michael] played at jacks.,"('Edward', 'Michael')",nephew,"brother(""Edward"", ""Eric""). brother(""Eric"", ""Edward""). son(""Eric"", ""Michael""). father(""Michael"", ""Eric""), son(""Eric"", ""Carl""). father(""Carl"", ""Eric""). brother(""Carl"", ""Michael""). brother(""Michael"", ""Carl"").",,brother-son,[]
15,"[Theresa] loved to play dress-up with her daughter [Verdie]. [Ronald] was busy planning a 90th birthday party for his aunt, [Theresa]. [Theresa] and her sister [Kristen] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Kristen] baked a cake for her son [Ronald].","('Kristen', 'Verdie')",niece,"daughter(""Theresa"", ""Verdie""). mother(""Verdie"", ""Theresa""). aunt(""Ronald"", ""Theresa""). nephew(""Theresa"", ""Ronald""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa""). son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen"").",,sister-daughter,[]
16,"[Darnell] is estranged from his mother, [Theresa]. His sister [Amanda] has tried to convince him to forgive [Theresa], but [Darnell] refuses. [Henry] took his son, [Darnell] to the movies with [Amanda], who's father is [Henry].","('Amanda', 'Theresa')",mother,"mother(""Darnell"", ""Theresa""), son(""Theresa"", ""Darnell""), sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell"") father(""Darnell"", ""Henry""), son(""Henry"", ""Darnell""), father(""Amanda"", ""Henry""), daughter(""Henry"", ""Amanda"").",,brother-mother,
17,[Henry] is happy that his daughter is doing so well. Her name is [Verdie]. [Verdie] and her brother [Darnell] went to the basketball game and had a great time. [Darnell] took his wife [Christine] out to dinner. [Darnell] asked his father [Henry] to watch the kids.,"('Christine', 'Henry')",father-in-law,"daughter(""Henry"", ""Verdie""). father(""Verdie"", ""Henry""). brother(""Verdie"", ""Darnell""). sister(""Darnell"", ""Verdie""). wife(""Darnell"", ""Christine""). husband(""Christine"", ""Darnell""). father(""Darnell"", ""Henry"").",,husband-father,[]
18,"[Casey] often goes out for lunch with his sister, [Margaret]. [Vernon] took his son [Casey] for boxing lessons. He felt the boy needed to toughen up. [Eric] and his brother [Vernon] were playing tag in the park. [Vernon] was so proud of his daughter, [Margaret], graduating at the top of her class.","('Eric', 'Margaret')",niece,"sister(""Casey"", ""Margaret""). brother(""Casey"", ""Margaret""). son(""Vernon"", ""Casey""). father(""Casey"", ""Vernon""). brother(""Eric"", ""Vernon""). brother(""Vernon"", ""Eric""). daughter(""Vernon"", ""Margaret""). father(""Margaret"", ""Vernon"").",,brother-daughter,[]
