id,story,query,target,parse,gender,f_comb
5,[Karen] told her daughter [Kristen] to wash up. Dinner was ready. [Theresa] is taking a trip to see her sister [Kristen]. [Theresa] and her mother [Karen] went dress shopping on Saturday. [Kristen] loved to care for her newborn child [Ronald].,"('Karen', 'Ronald')",grandson,"daughter(""Karen"", ""Kristen""). mother(""Kristen"", ""Karen""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa""). mother(""Theresa"", ""Karen""). daughter(""Karen"", ""Theresa"").child(""Kristen"", ""Ronald""). mother(""Kristen"", ""Ronald"").","1 5 female(""Karen""). female(""Kristen""). female(""Theresa""). male(""Ronald"").",daughter-son
8,"[Theresa] loved to care for her newborn child [Darnell]. [Darnell] and his sister [Amanda] walked to school together every day, since they only lived two blocks away from the school. [Henry] has a son named [Darnell] that looks exactly like him. [Henry] has a daughter named [Amanda] who visits him every Sunday for dinner.","('Theresa', 'Amanda')",daughter,"child(""Theresa"", ""Darnell""). mother(""Darnell"", ""Theresa""). sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell""). son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). daughter(""Henry"", ""Amanda""). father(""Amanda"", ""Henry"").",,son-sister
9,"[Kristen] 'son, [Ronald] wanted to go to the store. He asked his sister, [Sarah] if she wanted to go too. [Sarah] was excited for today, its her daughter's, [Kristen], spring break. She will finally get to see her. [Sarah] is the [Lonnie]'s wife.","('Kristen', 'Lonnie')",son-in-law,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Ronald"", ""Sarah""). daughter(""Sarah"", ""Kristen""). mother(""Kristen"", ""Sarah""). wife(""Lonnie"", ""Sarah""). husband(""Sarah"", ""Lonnie"").",,daughter-husband
15,"[Theresa] loved to play dress-up with her daughter [Verdie]. [Ronald] was busy planning a 90th birthday party for his aunt, [Theresa]. [Theresa] and her sister [Kristen] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Kristen] baked a cake for her son [Ronald].","('Kristen', 'Verdie')",niece,"daughter(""Theresa"", ""Verdie""). mother(""Verdie"", ""Theresa""). aunt(""Ronald"", ""Theresa""). nephew(""Theresa"", ""Ronald""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa""). son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen"").",,sister-daughter
16,"[Darnell] is estranged from his mother, [Theresa]. His sister [Amanda] has tried to convince him to forgive [Theresa], but [Darnell] refuses. [Henry] took his son, [Darnell] to the movies with [Amanda], who's father is [Henry].","('Amanda', 'Theresa')",mother,"mother(""Darnell"", ""Theresa""). son(""Theresa"", ""Darnell""). sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell""). father(""Darnell"", ""Henry""). son(""Henry"", ""Darnell""). father(""Amanda"", ""Henry""). daughter(""Henry"", ""Amanda"").",,brother-mother
17,[Henry] is happy that his daughter is doing so well. Her name is [Verdie]. [Verdie] and her brother [Darnell] went to the basketball game and had a great time. [Darnell] took his wife [Christine] out to dinner. [Darnell] asked his father [Henry] to watch the kids.,"('Christine', 'Henry')",father-in-law,"daughter(""Henry"", ""Verdie""). father(""Verdie"", ""Henry""). brother(""Verdie"", ""Darnell""). sister(""Darnell"", ""Verdie""). wife(""Darnell"", ""Christine""). husband(""Christine"", ""Darnell""). father(""Darnell"", ""Henry"").",,husband-father
20,"[Shirley] took her daughter [Margaret] to see her very first ballet performance. [Margaret] is one of my favorite students. She is the younger sister of [Casey], who I taught last year, [Casey] came to visit his wife [Stacy] for lunch today. [Casey] went to [Shirley]'s house for dinner.","('Stacy', 'Shirley')",mother-in-law,"daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley""). brother(""Margaret"", ""Casey""). sister(""Casey"", ""Margaret""). wife(""Casey"", ""Stacy""). husband(""Stacy"", ""Casey"").",,husband-mother
31,"[Kristen] bought a new puppy for her son [Ronald]. This made [Ronald]'s sister [Sarah] extremely jealous. [Lonnie]'s wife, [Sarah], prepared a surprise dinner for the neighbors [Kristen] is ready to dye Easter eggs with [Sarah]!","('Lonnie', 'Kristen')",mother-in-law,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Ronald"", ""Sarah""). brother(""Sarah"", ""Ronald""). wife(""Lonnie"", ""Sarah""). husband(""Sarah"", ""Lonnie"").",,wife-mother
45,"[Arthur] asked his aunt [Shirley] what college he should attend. [Robin] visited her son [Arthur] at college. [Robin] went out to dinner with her sister [Shirley], and [Shirley]'s daughter [Margaret].","('Robin', 'Margaret')",niece,"aunt(""Arthur"", ""Shirley""). nephew(""Shirley"", ""Arthur""). son(""Robin"", ""Arthur""). mother(""Arthur"", ""Robin""). sister(""Robin"", ""Shirley""). sister(""Shirley"", ""Robin""). daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley"").",,sister-daughter
59,"[Theresa] could n't wait to get off the plane to see her mother, [Michelle]. [Michelle] and her sister [Amanda] played golf together. [Michelle] won easily. [Barry] was eating dinner with his wife [Amanda]. Suddenly, [Amanda] got a call from her mother, [Theresa].","('Barry', 'Theresa')",mother-in-law,"daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). sister(""Amanda"", ""Michelle""). wife(""Barry"", ""Amanda""). husband(""Amanda"", ""Barry"").",,wife-mother
63,[Arthur] and his brother [Allen] just talked on the phone for the first time in years. [Robin] had to pick her son [Allen] up from school because the schools' bus was broke down. [Lisa]'s husband [Arthur] got into an argument with his mother [Robin] again. It always makes her uncomfortable.,"('Lisa', 'Robin')",mother-in-law,"brother(""Arthur"", ""Allen""). sister(""Allen"", ""Arthur""). son(""Robin"", ""Allen""). mother(""Allen"", ""Robin""). husband(""Lisa"", ""Arthur""). wife(""Arthur"", ""Lisa""). mother(""Arthur"", ""Robin"").",,husband-mother
67,[Sarah] and her sister [Dorothy] braided each other's hair before school. [Edward] is taking his daughter [Sarah] out for lunch. [Edward] has a daughter named [Dorothy] who visits him every Sunday for dinner. [Edward] needed someone to help him move out of his dorm last May. He asked his brother [Vernon] and he said he would help him.,"('Vernon', 'Sarah')",niece,"sister(""Sarah"", ""Dorothy""). sister(""Dorothy"", ""Sarah""). daughter(""Edward"", ""Sarah""). father(""Sarah"", ""Edward""). daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward""). brother(""Edward"", ""Vernon""). brother(""Vernon"", ""Edward"").",,brother-daughter
72,[Margaret] and her mother [Shirley] went to volunteer at the homeless shelter last weekend. [Raquel] and her sister [Margaret] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Raquel] and her mother [Shirley] attended a play at the theater. [Drew] loves to dance with his wife. Her name is [Raquel].,"('Shirley', 'Drew')",son-in-law,"mother(""Margaret"", ""Shirley""). daughter(""Shirley"", ""Margaret""). sister(""Raquel"", ""Margaret""). mother(""Raquel"", ""Shirley""). daughter(""Shirley"", ""Raquel""). wife(""Drew"", ""Raquel""). husband(""Raquel"", ""Drew"").",,daughter-husband
78,"[Carl] did n't want to take a trip with his father [Eric], so instead he went on a trip with his loving wife [Barbara]. [Carl] went to the baseball game with his brother [Allen]. [Allen] went to the park with his father, [Eric].","('Barbara', 'Eric')",father-in-law,"father(""Carl"", ""Eric""). son(""Eric"", ""Carl""). wife(""Carl"", ""Barbara""). husband(""Barbara"", ""Carl""). brother(""Carl"", ""Allen""). father(""Allen"", ""Eric""). son(""Eric"", ""Allen"").",,husband-father
106,[Constance] needed to go to the store. [Constance] asked her sister [Margaret] for a ride. [Margaret] is looking for a good gift for her sister [Raquel]. [Casey] enjoys the company of his sibling [Margaret]. [Raquel] and her sister [Constance] played golf together. [Raquel] won easily.,"('Casey', 'Raquel')",sister,"sister(""Constance"", ""Margaret""). sister(""Margaret"", ""Constance""). sister(""Margaret"", ""Raquel""). sister(""Raquel"", ""Margaret""). sibling(""Casey"", ""Margaret""). sibling(""Margaret"", ""Casey""). sister(""Raquel"", ""Constance""). sister(""Constance"", ""Raquel"").",,sister-sister
135,"[Serena] and her husband [Allen] went to New York for the holidays, and had a great time there. [Barbara] and her brother [Allen] went to the diner to eat yummy food together. [Robin] decided to take her son [Allen] out to have Mexican food for Dinner. [Allen] enjoyed spending time with his mother. [Robin] is ready to dye Easter eggs with [Barbara]!","('Serena', 'Robin')",mother-in-law,"husband(""Serena"", ""Allen""). wife(""Allen"", ""Serena""). brother(""Barbara"", ""Allen""). sister(""Allen"", ""Barbara""). son(""Robin"", ""Allen""). mother(""Allen"", ""Robin"").",,husband-mother
