id,story,query,target,parse,gender,f_comb,ans
8,"[Theresa] loved to care for her newborn child [Darnell]. [Darnell] and his sister [Amanda] walked to school together every day, since they only lived two blocks away from the school. [Henry] has a son named [Darnell] that looks exactly like him. [Henry] has a daughter named [Amanda] who visits him every Sunday for dinner.","('Theresa', 'Amanda')",daughter,"child(""Theresa"", ""Darnell""). mother(""Darnell"", ""Theresa""). sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell""). son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). daughter(""Henry"", ""Amanda""). father(""Amanda"", ""Henry"").",,son-sister,[]
106,[Constance] needed to go to the store. [Constance] asked her sister [Margaret] for a ride. [Margaret] is looking for a good gift for her sister [Raquel]. [Casey] enjoys the company of his sibling [Margaret]. [Raquel] and her sister [Constance] played golf together. [Raquel] won easily.,"('Casey', 'Raquel')",sister,"sister(""Constance"", ""Margaret""). sister(""Margaret"", ""Constance""). sister(""Margaret"", ""Raquel""). sister(""Raquel"", ""Margaret""). sibling(""Casey"", ""Margaret""). sibling(""Margaret"", ""Casey""). sister(""Raquel"", ""Constance""). sister(""Constance"", ""Raquel"").",,sister-sister,[]
201,[Kristen] and her son [Benny] go with [Patty] to the baseball game. [Patty] took a cooking class with her father in law Ted. Ted said she was a natural and recommended that she begin cooking for his son [Jeffery]. [Patty] and her mother [Kristen] went dress shopping on Saturday.,"('Kristen', 'Jeffery')",son-in-law,"son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen""). father-in-law(""Patty"", ""Ted""). daughter-in-law(""Ted"", ""Patty""). son(""Ted"", ""Jeffery""). father(""Jeffery"", ""Ted""). mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty"").",,daughter-husband,[]
214,"[Robin] took her daughter, [Barbara], to lunch. [Karen] is ready to dye Easter eggs with [Robin]! [Robin] and her daughter [Lisa] were on vaction. [Lisa] was talking about food with her sister [Barbara].","('Lisa', 'Karen')",grandmother,"daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Lisa""). mother(""Lisa"", ""Robin""). sister(""Lisa"", ""Barbara""). sister(""Barbara"", ""Lisa"").",,mother-mother,[]
218,"[Karen] loved to care for her newborn child [Edward]. [Theresa]'s mom, [Karen], has recently taken art classes. [Shirley] and her sister [Theresa] were fighting. They never fight long though, and they made up the next day. [Karen] took her daughter [Shirley] to see her very first ballet performance.","('Theresa', 'Edward')",brother,"mother(""Edward"", ""Karen""), child(""Karen"", ""Edward""). mother(""Theresa"", ""Karen""), daughter(""Karen"", ""Theresa""). sister(""Shirley"", ""Theresa""), sister(""Theresa"", ""Shirley""). daughter(""Karen"", ""Shirley""), mother(""Shirley"", ""Karen"").",,mother-son,[]
248,"[Theresa] asked her son [Barry] to take her car to get the oil changed and he said he would be there around 2 o'clock. [Barry] has always felt ignored in his big family. His brother [Eddie] always got all the attention of their parents, who recounted his every accomplishment to all the household. [Barry] and [Darnell] are brothers who look nothing alike. [Theresa] took her son [Eddie] to the park for the afternoon.","('Darnell', 'Eddie')",brother,"son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""). brother(""Barry"", ""Eddie""). brother(""Eddie"", ""Barry""). sibling(""Barry"", ""Darnell""). sibling(""Darnell"", ""Barry""). son(""Theresa"", ""Eddie""). mother(""Eddie"", ""Theresa"").",,brother-brother,[]
293,[Robin] and her sister [Theresa] went to see [Robin]'s daughter [Marlene] and took her a bottle of wine as a gift. [Marlene] got accepted into her dream college. Her father [Eric] could not be any prouder. [Theresa] was more than happy to help her sister by watching her child [Marlene].,"('Eric', 'Theresa')",sister,"sister(""Robin"", ""Theresa""). sister(""Theresa"", ""Robin""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin""). father(""Marlene"", ""Eric""). daughter(""Eric"", ""Marlene"")",,daughter-aunt,
340,"[James] is the great aunt of the marvelous [Kristen]. [Stacy] was worried about her graduation party. Her mother [Shirley] had turned up earlier that day, but her brother [James] was still missing. [Shirley] liked to play hide and seek with her son [James].","('Shirley', 'Kristen')",sister,"great_aunt(""Kristen"", ""James""). daughter(""Shirley"", ""Stacy""). mother(""Stacy"", ""Shirley""). son(""Shirley"", ""James""). mother(""James"", ""Shirley""). brother(""Stacy"", ""James""). sister(""James"", ""Stacy"").",,son-aunt,[]
373,"[Lisa] loved her mother [Robin]. She was heartbroken when she heard [Robin] had suddenly passed away. [Robin]'s daughter, [Marlene], just graduated high school. [Karen] is a girl with a grandmother named [Marlene]. [Marlene] and her sister [Lisa] are the only children in their family.","('Lisa', 'Karen')",grandmother,"mother(""Lisa"", ""Robin""). daughter(""Robin"", ""Lisa""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin""). grandmother(""Karen"", ""Marlene""). granddaughter(""Marlene"", ""Karen""). sister(""Marlene"", ""Lisa""). sister(""Lisa"", ""Marlene"").",,sister-grandmother,[]
378,"[Edward] has been a lovely father of [Benny] and has a wife named [Kristen] who is always there for him. [Kristen]'s sister, [Robin], does not get along very well with [Kristen]'s son, [Benny].","('Robin', 'Benny')",nephew,"father(""Edward"", ""Benny""). son(""Edward"", ""Benny""). wife(""Edward"", ""Kristen""). husband(""Kristen"", ""Edward""). sister(""Kristen"", ""Robin""). son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen"").",,sister-son,[]
